t_over_lambda,v_metal,v_idt_0p5,v_idt_0p7
0.0005,5769.5,5774.5,5773.6
0.001,5767.2,5773.1,5771.8
0.002,5762.6,5770.4,5768.2
0.005,5748.6,5763.5,5757.5
0.01,5725.5,5751.9,5740.5
0.02,5679.5,5724.4,5705.6
0.03,5634.2,5694,5672.2
0.05,5546.2,5633.6,5606.3
0.08,5423.5,5517.5,5497
0.1,5348.3,5421.9,5409
